"Name","State","Notes","User","Tags","Created","Runtime","Sweep","__cached__setup_devices","adam_epsilon","data_dir","dataloader_drop_last","debug","do_eval","do_predict","do_train","eval_steps","evaluate_during_training","finetuning_iters","fp16","fp16_opt_level","gradient_accumulation_steps","learning_rate","local_rank","logging_dir","logging_first_step","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","no_cuda","num_train_epochs","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_train_batch_size","save_steps","seed","task_name","tpu_metrics_debug","warmup_steps","weight_decay","Training time","epoch","eval_acc","eval_acc_and_f1","eval_corr","eval_f1","eval_loss","eval_mcc","eval_pearson","eval_spearmanr","finetuning_time","finetuning_time_list","inference_time","inference_time_list","loss"
"breezy-sweep-45","finished","-","anna_korotkova","","2020-07-29T07:45:35.000Z","7644","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_07-45-37_anna-gpu","false","50","1","512","-1","xlnet-base-cased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.4929577464788733","","","","0.7076515422927009","","","","1453.9288070201874","[1511.446849346161,1453.9288070201874,1480.7598547935486,1571.2844123840332,1531.055652141571]","7.73661994934082","[8.543611764907837,9.917526006698608,9.763781785964966,9.18338108062744,9.192893981933594,8.962759017944336,9.47899079322815,9.212175369262695,7.73661994934082]","0.28129574060440066"
"dutiful-sweep-44","finished","-","anna_korotkova","","2020-07-29T05:44:05.000Z","7285","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_05-44-06_anna-gpu","false","50","1","512","-1","xlnet-base-cased","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.5070422535211268","","","","0.7079634269078573","","","","1419.2357952594757","[1437.6936128139496,1419.2357952594757,1443.2448904514313,1440.8073542118073,1461.637640953064]","6.834764242172241","[7.664571046829224,8.112679243087769,7.724985599517822,7.543960809707642,7.432319402694702,7.866294860839844,7.75995945930481,7.608790397644043,6.834764242172241]","0.5560731422901154"
"hearty-sweep-43","finished","-","anna_korotkova","","2020-07-29T03:24:02.000Z","8399","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_03-24-03_anna-gpu","false","50","1","512","-1","xlnet-base-cased","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.5633802816901409","","","","0.7042413817511665","","","","1648.7515692710876","[1697.3308124542236,1648.7515692710876,1653.4583296775818,1657.0588357448578,1667.509839296341]","6.090954303741455","[6.851536512374878,7.0914225578308105,6.800837755203247,6.939810276031494,7.0585455894470215,6.941375970840454,7.307823181152344,7.112970590591431,6.090954303741455]","0.726203420162201"
"vivid-sweep-42","finished","-","anna_korotkova","","2020-07-29T02:35:49.000Z","2892","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_02-35-51_anna-gpu","false","50","1","512","-1","albert-base-v1","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.4225352112676056","","","","0.7064208322101169","","","","525.2835969924927","[525.2835969924927,575.5731990337372,594.0969767570496,581.6537318229675,587.8495531082153]","1.6812307834625244","[1.9874489307403564,1.8449652194976809,2.019914150238037,1.947770595550537,1.949181079864502,2.033104181289673,1.6812307834625244,1.822525978088379,1.905723571777344]","0.27751596450805666"
"feasible-sweep-41","finished","-","anna_korotkova","","2020-07-29T02:06:17.000Z","1765","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_02-06-18_anna-gpu","false","50","1","512","-1","albert-base-v1","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.4647887323943662","","","","0.7025870283444723","","","","343.1901717185974","[363.27685737609863,343.1901717185974,347.7254786491394,348.59234738349915,346.58778715133667]","0.7032313346862793","[0.8305656909942627,0.7032313346862793,0.7264752388000488,0.7922189235687256,0.7748501300811768,0.7526609897613525,0.721872091293335,0.7687888145446777,0.774228572845459]","0.5606631636619568"
"lilac-sweep-40","finished","-","anna_korotkova","","2020-07-29T01:33:00.000Z","1992","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_01-33-01_anna-gpu","false","50","1","512","-1","albert-base-v1","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.4929577464788733","","","","0.6958080861303542","","","","392.9594564437866","[400.92335414886475,393.3436903953552,392.9594564437866,393.9945170879364,395.0490300655365]","0.6681516170501709","[0.7513012886047363,0.6681516170501709,0.83316969871521,0.7044668197631836,0.6798672676086426,0.703803539276123,0.7580287456512451,0.6910820007324219,0.6903519630432129]","0.691022070646286"
"jolly-sweep-39","finished","-","anna_korotkova","","2020-07-29T00:42:52.000Z","3003","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_00-42-53_anna-gpu","false","50","1","512","-1","roberta-base","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.5633802816901409","","","","0.6918345756000943","","","","589.0842432975769","[591.5121495723724,589.0842432975769,600.0663423538208,598.6722044944763,598.9814202785492]","0.6401736736297607","[0.7798840999603271,0.7720410823822021,0.6717581748962402,0.6401736736297607,0.6905827522277832,0.752434492111206,1.599320650100708,1.0888867378234863,1.0843405723571775]","0.2791385459899902"
"polar-sweep-38","finished","-","anna_korotkova","","2020-07-29T00:10:48.000Z","1919","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul29_00-10-49_anna-gpu","false","50","1","512","-1","roberta-base","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.5633802816901409","","","","0.6909239093462626","","","","370.36043667793274","[400.9810833930969,370.36043667793274,376.6780025959015,373.8928141593933,374.0873348712921]","0.7247138023376465","[0.8806414604187012,0.8190410137176514,0.7247138023376465,1.2637295722961426,0.9014809131622314,0.7361156940460205,0.8419873714447021,0.7447872161865234,0.7852373123168945]","0.5571112823486328"
"crimson-sweep-37","finished","-","anna_korotkova","","2020-07-28T23:35:47.000Z","2095","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_23-35-49_anna-gpu","false","50","1","512","-1","roberta-base","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.5633802816901409","","","","0.6926824781629775","","","","409.5677208900452","[422.85284447669983,409.5677208900452,411.6158022880554,414.16670083999634,414.4930419921875]","0.6158649921417236","[0.7739665508270264,0.7030057907104492,0.6985054016113281,0.693962574005127,0.6519715785980225,0.6660051345825195,0.7144644260406494,0.688438892364502,0.6158649921417236]","0.717180243730545"
"eternal-sweep-36","finished","-","anna_korotkova","","2020-07-28T23:12:49.000Z","1373","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_23-12-50_anna-gpu","false","50","1","512","-1","distilbert-base-uncased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.5070422535211268","","","","0.6942566566997104","","","","253.00926733016968","[278.80528593063354,287.64998602867126,253.00926733016968,263.53780817985535,273.39583921432495]","0.673875093460083","[0.7694289684295654,0.7554075717926025,0.7404248714447021,0.673875093460083,0.6996986865997314,0.7997381687164307,0.8351426124572754,0.7738652229309082,0.7750592231750488]","0.2762049317359924"
"magic-sweep-35","finished","-","anna_korotkova","","2020-07-28T22:58:12.000Z","874","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_22-58-14_anna-gpu","false","50","1","512","-1","distilbert-base-uncased","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.43661971830985913","","","","0.6978656782044305","","","","169.1525342464447","[180.3109109401703,170.4225926399231,169.1525342464447,169.1819987297058,171.12625575065613]","0.30013108253479004","[0.3818492889404297,0.33961987495422363,0.3666105270385742,0.33612608909606934,0.30013108253479004,0.426025390625,0.3872828483581543,0.36321330070495605,0.3095822334289551]","0.5539264380931854"
"super-sweep-34","finished","-","anna_korotkova","","2020-07-28T22:40:34.000Z","1057","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_22-40-35_anna-gpu","false","50","1","512","-1","distilbert-base-uncased","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.4507042253521127","","","","0.6954311927159628","","","","203.46999955177307","[220.6397395133972,207.65886449813843,206.8276579380035,205.04186940193176,203.46999955177307]","0.2877185344696045","[0.4270050525665283,0.3002505302429199,0.34666895866394043,0.3140716552734375,0.3352198600769043,0.3045346736907959,0.31557130813598633,0.2877185344696045,0.39850902557373047]","0.6935939502716064"
"treasured-sweep-33","finished","-","anna_korotkova","","2020-07-28T21:52:08.000Z","2904","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_21-52-10_anna-gpu","false","50","1","512","-1","bert-base-uncased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.5492957746478874","","","","0.6874351302782694","","","","557.3970613479614","[557.3970613479614,563.3488645553589,574.2809669971466,596.1704702377319,588.4718112945557]","0.6956582069396973","[0.9299039840698242,0.6956582069396973,0.7255115509033203,1.397600173950195,1.479163408279419,1.1394360065460205,1.3418445587158203,1.1260273456573486,1.1339876651763916]","0.27611467003822326"
"icy-sweep-32","finished","-","anna_korotkova","","2020-07-28T21:20:46.000Z","1876","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_21-20-47_anna-gpu","false","50","1","512","-1","bert-base-uncased","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.4788732394366197","","","","0.6955389248000251","","","","359.6778302192688","[402.1969685554504,367.3073287010193,364.0232515335083,362.2293877601623,359.6778302192688]","0.6493558883666992","[0.7559356689453125,0.6858401298522949,0.6607656478881836,0.6964099407196045,0.7355921268463135,1.0796902179718018,0.7311084270477295,0.6493558883666992,0.7811412811279297]","0.5594450092315674"
"deep-sweep-31","finished","-","anna_korotkova","","2020-07-28T20:46:16.000Z","2068","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_20-46-17_anna-gpu","false","50","1","512","-1","bert-base-uncased","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.5492957746478874","","","","0.6930119726392958","","","","401.25801730155945","[437.7551383972168,404.3854830265045,401.53809213638306,401.25801730155945,402.4106547832489]","0.6499476432800293","[0.7832949161529541,0.7762324810028076,0.6994848251342773,0.7007739543914795,0.6750607490539551,0.7289683818817139,0.6700105667114258,0.7084770202636719,0.6499476432800293]","0.6907423210144042"
"autumn-sweep-30","finished","-","anna_korotkova","","2020-07-28T20:07:21.000Z","2331","b4z6kgap","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul28_20-07-23_anna-gpu","false","50","1","256","-1","xlnet-base-cased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.5070422535211268","","","","0.7054690586196052","","","","451.7910151481629","[485.9731903076172,463.45772314071655,456.5144093036651,451.7910151481629,452.5556802749634]","0.8080434799194336","[0.8982288837432861,0.8511941432952881,0.8937218189239502,0.8080434799194336,0.9030983448028564,0.929173707962036,0.8629758358001709,0.8413355350494385,0.8844611644744873]","0.2798705005645752"
