"Name","State","Notes","User","Tags","Created","Runtime","Sweep","__cached__setup_devices","adam_epsilon","data_dir","dataloader_drop_last","debug","do_eval","do_predict","do_train","eval_steps","evaluate_during_training","finetuning_iters","fp16","fp16_opt_level","gradient_accumulation_steps","learning_rate","local_rank","logging_dir","logging_first_step","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","no_cuda","num_train_epochs","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_train_batch_size","save_steps","seed","task_name","tpu_metrics_debug","warmup_steps","weight_decay","Training time","epoch","eval_acc","eval_acc_and_f1","eval_corr","eval_f1","eval_loss","eval_mcc","eval_pearson","eval_spearmanr","finetuning_time","finetuning_time_list","inference_time","inference_time_list","loss"
"clean-sweep-18","finished","-","anna_korotkova","","2020-08-24T19:24:10.000Z","6945","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_19-24-11_anna-gpu","false","50","1","512","-1","distilbert-base-cased","false","1","/tmp/MRPC/","true","-1","8","32","","500","42","MRPC","false","0","0.01","","1","0.7107843137254902","0.7665367351759982","","0.822289156626506","0.5501135844810336","","","","1219.9517934322355","[1616.2997381687164,1572.3830304145813,1288.009484052658,1219.9679033756256,1219.9517934322355]","0.2911074161529541","[0.47296762466430664,0.35771751403808594,0.335524320602417,0.2956855297088623,0.3178727626800537,0.30762529373168945,0.3273019790649414,0.31450700759887695,0.29135751724243164,0.3683481216430664,0.30038928985595703,0.3044397830963135,0.3372776508331299,0.3702073097229004,0.3031141757965088,0.34848642349243164,0.3221876621246338,0.29640984535217285,0.3180201053619385,0.2946958541870117,0.30640506744384766,0.30292534828186035,0.29518938064575195,0.32758426666259766,0.34555888175964355,0.3207552433013916,0.3240377902984619,0.29468369483947754,0.36286211013793945,0.29485106468200684,0.3986439704895019,0.35900378227233887,0.33460307121276855,0.32892704010009766,0.3315584659576416,0.3111107349395752,0.3443567752838135,0.3195819854736328,0.3049583435058594,0.2911074161529541,0.3303971290588379,0.29375505447387695,0.3185746669769287,0.41410303115844727,0.33089566230773926,0.3399684429168701,0.34386324882507324,0.3105783462524414,0.30338120460510254,0.319124698638916,0.30904698371887207]","0.5300151389837265"
"logical-sweep-17","finished","-","anna_korotkova","","2020-08-24T17:59:22.000Z","5083","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_17-59-23_anna-gpu","false","50","1","512","-1","distilbert-base-cased","false","1","/tmp/MRPC/","true","-1","8","16","","500","42","MRPC","false","0","0.01","","1","0.7769607843137255","0.8144966523194643","","0.8520325203252033","0.5150387757549099","","","","995.9273183345796","[1023.3886713981628,1014.8336822986604,1009.9909019470216,995.9273183345796,1010.344408750534]","0.2942180633544922","[0.49911999702453613,0.35901951789855957,0.34415245056152344,0.3180861473083496,0.3845963478088379,0.31994056701660156,0.35628271102905273,0.3795280456542969,0.31864404678344727,0.3154628276824951,0.39928555488586426,0.3448464870452881,0.3665034770965576,0.3258061408996582,0.2942180633544922,0.3356351852416992,0.29711198806762695,0.3033015727996826,0.31011033058166504,0.31125593185424805,0.30856871604919434,0.3876190185546875,0.3259298801422119,0.31603288650512695,0.3244185447692871,0.33586549758911133,0.31421494483947754,0.2994821071624756,0.37079572677612305,0.32004642486572266,0.3113112449645996,0.3732137680053711,0.3246300220489502,0.3392324447631836,0.3646676540374756,0.33673906326293945,0.33454155921936035,0.3362867832183838,0.3343348503112793,0.340228796005249,0.3005256652832031,0.33673596382141113,0.2969808578491211,0.3123013973236084,0.3216373920440674,0.2972092628479004,0.3856990337371826,0.434603214263916,0.4564683437347412,0.32691526412963867,0.3047459125518799,0.4003865718841553,0.3244965076446533,0.3925778865814209,0.393237829208374,0.30681300163269043,0.4167590141296386,0.34394311904907227,0.3459901809692383,0.4022557735443115,0.3323838710784912,0.3047473430633545,0.33000683784484863,0.3274984359741211,0.30425119400024414,0.326610803604126,0.3244898319244385,0.3111763000488281,0.33980560302734375,0.33141160011291504,0.31212329864501953,0.3244297504425049,0.3738372325897217,0.382418155670166,0.35943102836608887,0.3513040542602539,0.3101985454559326,0.323375940322876,0.35225415229797363,0.341655969619751,0.365588903427124,0.2992112636566162,0.3184075355529785,0.3141651153564453,0.4079713821411133,0.3337972164154053,0.2978072166442871,0.3017003536224365,0.3207738399505615,0.333085298538208,0.3093893527984619,0.31006550788879395,0.32059288024902344,0.33003759384155273,0.3543212413787842,0.3660945892333984,0.31330251693725586,0.3424954414367676,0.31751322746276855,0.3590271472930908,0.30095720291137695,0.3470323085784912]","0.47839398086071017"
"splendid-sweep-16","finished","-","anna_korotkova","","2020-08-24T16:20:50.000Z","5908","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_16-20-51_anna-gpu","false","50","1","512","-1","distilbert-base-cased","false","1","/tmp/MRPC/","true","-1","8","8","","500","42","MRPC","false","0","0.01","","1","0.7941176470588235","0.8258723828514456","","0.8576271186440678","0.4287981424553722","","","","1144.5908074378967","[1235.5874955654144,1144.5908074378967,1163.5556380748749,1146.9373052120209,1183.4416806697843]","0.2858107089996338","[0.4100620746612549,0.2988286018371582,0.3536348342895508,0.3152949810028076,0.29340100288391113,0.29941821098327637,0.32546138763427734,0.3270862102508545,0.32220029830932617,0.29675984382629395,0.33718442916870117,0.3040275573730469,0.29288458824157715,0.3327648639678955,0.3315572738647461,0.29271745681762695,0.2925102710723877,0.3059241771697998,0.32594895362854004,0.32889413833618164,0.29288339614868164,0.29772138595581055,0.292788028717041,0.3039383888244629,0.2912111282348633,0.31501030921936035,0.30495238304138184,0.3262014389038086,0.32761144638061523,0.3003365993499756,0.29091453552246094,0.29205942153930664,0.31495165824890137,0.3366415500640869,0.303941011428833,0.29093098640441895,0.31865954399108887,0.30135345458984375,0.30727434158325195,0.34125232696533203,0.35895705223083496,0.32166481018066406,0.3694159984588623,0.39928674697875977,0.32778334617614746,0.3197753429412842,0.34316539764404297,0.31225085258483887,0.30280208587646484,0.3158557415008545,0.30135536193847656,0.4315755367279053,0.33240342140197754,0.3076136112213135,0.3335273265838623,0.35962653160095215,0.2903096675872803,0.35593080520629883,0.2968635559082031,0.34972429275512695,0.3334925174713135,0.32324671745300293,0.30775904655456543,0.298537015914917,0.32665467262268066,0.3238999843597412,0.3064570426940918,0.30660200119018555,0.28952789306640625,0.3122725486755371,0.3237936496734619,0.2903270721435547,0.3255631923675537,0.29056620597839355,0.31215381622314453,0.28992390632629395,0.31986093521118164,0.3081493377685547,0.3037681579589844,0.29254651069641113,0.31429123878479004,0.33571457862854004,0.3514246940612793,0.34133028984069824,0.2909388542175293,0.3335754871368408,0.30063366889953613,0.3079826831817627,0.3089425563812256,0.31285691261291504,0.3351919651031494,0.3234708309173584,0.29814648628234863,0.29869627952575684,0.32338666915893555,0.3177146911621094,0.32035088539123535,0.2858107089996338,0.3790159225463867,0.29557228088378906,0.3147306442260742,0.3167104721069336,0.4767038822174072,0.3819446563720703,0.3682234287261963,0.3148932456970215,0.4011142253875733,0.31890034675598145,0.3675944805145264,0.3446311950683594,0.31101298332214355,0.35688281059265137,0.3983325958251953,0.3512454032897949,0.3524796962738037,0.3416609764099121,0.3076198101043701,0.3221619129180908,0.3248250484466553,0.3073089122772217,0.32926344871520996,0.36023902893066406,0.4305787086486816,0.39183831214904785,0.33353161811828613,0.34357166290283203,0.32618260383605957,0.3520088195800781,0.401111364364624,0.3622164726257324,0.38186001777648926,0.3363978862762451,0.3467252254486084,0.31647443771362305,0.31640148162841797,0.33551907539367676,0.37239789962768555,0.3915708065032959,0.361224889755249,0.34580397605895996,0.33116602897644043,0.3644077777862549,0.4314565658569336,0.3073153495788574,0.3100287914276123,0.3786320686340332,0.3689844608306885,0.3684234619140625,0.328782320022583,0.32657289505004883,0.31423163414001465,0.2935202121734619,0.3138856887817383]","0.36626295387744906"
"distinctive-sweep-15","finished","-","anna_korotkova","","2020-08-24T11:35:26.000Z","17118","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_11-35-28_anna-gpu","false","50","1","512","-1","bert-base-cased","false","1","/tmp/MRPC/","true","-1","8","32","","500","42","MRPC","false","0","0.01","","1","0.7769607843137255","0.8147364699526488","","0.8525121555915721","0.5011141910856846","","","","3387.6892354488373","[3388.394763469696,3474.332092523575,3392.5446767807007,3387.6892354488373,3416.1205956935883]","0.6092443466186523","[0.9384677410125732,1.1302151679992676,1.0806214809417725,0.6339032649993896,0.6092443466186523,0.622328519821167,0.6356189250946045,0.661733865737915,0.6612722873687744,0.6985800266265869,0.6541092395782471,0.6877040863037109,0.6473796367645264,0.6512045860290527,0.6336407661437988,0.6572494506835938,0.7454547882080078,0.6526796817779541,0.7069132328033447,0.8437292575836182,1.0968806743621826,1.10304594039917,0.7653353214263916,0.9014029502868652,0.779473066329956,0.852257251739502,0.8275361061096191,1.0271341800689695,0.745692253112793,1.0977394580841064,0.7966427803039551,0.7741634845733643,0.7624855041503906,0.9898903369903564,0.860619068145752,0.7251060009002686,1.1579275131225586,0.8345274925231934,0.8451435565948486,0.858588695526123,0.9600825309753418,1.028712511062622,1.231325626373291,0.8852667808532715,1.0168228149414062,1.2306864261627195,0.95027494430542,1.0299770832061768,1.1559464931488037,1.0200881958007812,0.8635547161102295]","0.48763418674468995"
"elated-sweep-14","finished","-","anna_korotkova","","2020-08-24T08:34:50.000Z","10833","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_08-34-51_anna-gpu","false","50","1","512","-1","bert-base-cased","false","1","/tmp/MRPC/","true","-1","8","16","","500","42","MRPC","false","0","0.01","","1","0.8308823529411765","0.8574579831932774","","0.8840336134453781","0.403069195209765","","","","2135.178870201111","[2137.02276468277,2135.289885997772,2149.089709997177,2135.178870201111,2224.1283564567566]","0.6365835666656494","[0.8481829166412354,0.7053530216217041,0.7316088676452637,0.7701842784881592,0.7738301753997803,0.7345790863037109,0.7641167640686035,0.8120071887969971,0.7286899089813232,0.8140604496002197,0.8173673152923584,0.7913618087768555,0.928208589553833,1.252835750579834,0.834949254989624,0.7777996063232422,0.6784195899963379,0.7033071517944336,0.708275556564331,0.7944974899291992,0.7083308696746826,0.7001628875732422,0.8012878894805908,0.6975710391998291,0.6558117866516113,0.7073326110839844,0.678717851638794,0.6694402694702148,0.7082958221435547,0.8347678184509277,0.7405776977539062,0.7957684993743896,0.6872158050537109,0.8320770263671875,1.1593260765075684,1.043384075164795,0.7479991912841797,0.6444857120513916,0.7576944828033447,0.9074833393096924,0.7957057952880859,0.672996997833252,0.691291093826294,0.7111835479736328,0.7389764785766602,0.747384786605835,0.8109719753265381,0.7004892826080322,0.6464927196502686,0.6365835666656494,0.6759593486785889,0.8085408210754395,1.1907081604003906,0.8404412269592285,0.7371201515197754,0.709630012512207,0.6792857646942139,0.7613251209259033,0.7770466804504395,0.7976477146148682,0.7551357746124268,0.6743097305297852,0.7713804244995117,0.7256221771240234,0.7507398128509521,0.7245888710021973,0.6986970901489258,0.7744865417480469,0.7849583625793457,0.7154374122619629,0.6886498928070068,0.8253874778747559,0.7305879592895508,0.7307789325714111,0.8513457775115967,0.7144603729248047,0.6838879585266113,0.8071246147155762,0.748441219329834,0.7473328113555908,0.7622413635253906,0.704310417175293,0.6916611194610596,0.8631227016448975,0.7728135585784912,0.6874756813049316,0.8010616302490234,0.70745849609375,0.6713569164276123,0.7638211250305176,0.8407037258148193,0.6942529678344727,0.8317787647247314,0.7471380233764648,0.7216527462005615,0.7086727619171143,0.6777331829071045,0.7191684246063232,0.7122881412506104,1.013132095336914,0.9962942600250244,0.7359671592712402]","0.3714802128076553"
"feasible-sweep-13","finished","-","anna_korotkova","","2020-08-24T05:16:28.000Z","11899","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_05-16-29_anna-gpu","false","50","1","512","-1","bert-base-cased","false","1","/tmp/MRPC/","true","-1","8","8","","500","42","MRPC","false","0","0.01","","1","0.8504901960784313","0.8727494009652054","","0.8950086058519794","0.3647808366838623","","","","2338.662522792816","[2412.085298061371,2352.8925483226776,2364.875772714615,2338.662522792816,2374.218059539795]","0.6411094665527344","[0.7603878974914551,0.6956343650817871,0.7866168022155762,0.684563159942627,0.7717432975769043,0.7946336269378662,0.7192273139953613,0.759350061416626,0.7014174461364746,0.7371978759765625,0.6672768592834473,0.7718977928161621,0.8341789245605469,0.7422254085540771,0.751140832901001,0.7274153232574463,0.7753024101257324,0.7301228046417236,0.8100953102111816,0.745631217956543,0.708204984664917,0.7011208534240723,0.7078313827514648,0.7264125347137451,0.7786006927490234,0.7783670425415039,0.7025737762451172,0.7467143535614014,0.7386825084686279,0.704308032989502,0.7344796657562256,0.8076817989349365,0.7078814506530762,0.7775406837463379,0.7314510345458984,0.7372374534606934,0.7212088108062744,0.7483983039855957,0.6707844734191895,0.7428255081176758,0.6885113716125488,0.7093162536621094,0.7557594776153564,0.7232091426849365,0.7420856952667236,0.7511160373687744,0.7481250762939453,0.7197315692901611,0.7237341403961182,0.7357263565063477,0.8079016208648682,0.7920684814453125,0.7949867248535156,0.7906060218811035,0.655379056930542,0.7382440567016602,0.727745532989502,0.7027497291564941,0.7243928909301758,0.7350060939788818,0.727867603302002,0.6771597862243652,0.7071239948272705,0.8379876613616943,0.6411094665527344,0.7566261291503906,0.7191402912139893,0.7092790603637695,0.7013802528381348,0.6984117031097412,0.7144951820373535,0.6585307121276855,0.706153392791748,0.7237915992736816,0.7636618614196777,0.8503472805023193,0.7834856510162354,0.8425912857055664,0.6910982131958008,0.7513992786407471,0.7787175178527832,0.8132660388946533,0.770716667175293,0.7644903659820557,0.76627516746521,0.7603154182434082,0.722724437713623,0.776475191116333,0.7373247146606445,0.8052926063537598,0.9815733432769777,0.6773173809051514,0.7194421291351318,0.7000384330749512,0.7570290565490723,0.6665549278259277,0.8015673160552979,0.717444896697998,0.8037075996398926,0.7487831115722656,0.7127764225006104,0.7298641204833984,0.8542900085449219,0.7538349628448486,0.8061637878417969,0.7367041110992432,0.8638026714324951,0.8138594627380371,0.7653231620788574,0.8494796752929688,0.7266232967376709,0.7403841018676758,0.7965402603149414,0.7738192081451416,0.7763857841491699,0.7962055206298828,0.7412247657775879,0.7150688171386719,0.710115909576416,0.6811542510986328,0.8410031795501709,0.820854902267456,0.7618570327758789,0.6830422878265381,0.7955615520477295,0.795651912689209,0.6807348728179932,0.7182304859161377,0.7649948596954346,0.7137155532836914,0.7726850509643555,0.6842432022094727,0.7220866680145264,0.8136444091796875,0.6923317909240723,0.826880931854248,0.7382979393005371,0.7135798931121826,0.7368247509002686,0.7201769351959229,0.820894718170166,0.80155348777771,0.6712915897369385,0.6889033317565918,0.7687168121337891,0.7367534637451172,0.7302579879760742,0.7349305152893066,0.7106146812438965,0.7719073295593262,0.738854169845581,0.7031514644622803,0.735572099685669]","0.3824033072590828"
"swept-sweep-12","failed","-","anna_korotkova","","2020-08-24T05:16:06.000Z","16","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_05-16-08_anna-gpu","false","50","1","256","-1","distilbert-base-cased","false","1","/tmp/MRPC/","true","-1","8","32","","500","42","MRPC","false","0","0.01","","","","","","","","","","","","","","",""
"desert-sweep-11","failed","-","anna_korotkova","","2020-08-24T05:15:45.000Z","17","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_05-15-47_anna-gpu","false","50","1","256","-1","distilbert-base-cased","false","1","/tmp/MRPC/","true","-1","8","16","","500","42","MRPC","false","0","0.01","","","","","","","","","","","","","","",""
"toasty-sweep-10","failed","-","anna_korotkova","","2020-08-24T05:15:24.000Z","16","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_05-15-26_anna-gpu","false","50","1","256","-1","distilbert-base-cased","false","1","/tmp/MRPC/","true","-1","8","8","","500","42","MRPC","false","0","0.01","","","","","","","","","","","","","","",""
"woven-sweep-9","failed","-","anna_korotkova","","2020-08-24T05:14:58.000Z","22","vr2ci2ru","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","5","false","O1","1","0.00003","-1","runs/Aug24_05-14-59_anna-gpu","false","50","1","256","-1","bert-base-cased","false","1","/tmp/MRPC/","true","-1","8","32","","500","42","MRPC","false","0","0.01","","","","","","","","","","","","","","",""
