Name;State;Notes;User;Tags;Created;Runtime;Sweep;__cached__setup_devices;adam_epsilon;data_dir;dataloader_drop_last;debug;do_eval;do_predict;do_train;eval_steps;evaluate_during_training;finetuning_iters;fp16;fp16_opt_level;gradient_accumulation_steps;learning_rate;local_rank;logging_dir;logging_first_step;logging_steps;max_grad_norm;max_seq_length;max_steps;model_name_or_path;no_cuda;num_train_epochs;output_dir;overwrite_output_dir;past_index;per_device_eval_batch_size;per_device_train_batch_size;per_gpu_train_batch_size;save_steps;seed;task_name;tpu_metrics_debug;warmup_steps;weight_decay;Training time;epoch;eval_acc;eval_acc_and_f1;eval_f1;eval_loss;finetuning_time;finetuning_time_list;inference_time;inference_time_list;loss;eval_corr;eval_mcc;eval_pearson;eval_spearmanr
laced-sweep-2;finished;-;anna_korotkova;;2020-08-11T21:56:47.000Z;40608;xs9409vg;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug11_21-56-49_anna-gpu;false;50;1;512;-1;xlnet-base-cased;false;1;/tmp/MRPC/;true;-1;8;32;;500;42;MRPC;false;0;0.01;;1;0.8063725490196079;0.8381121394191944;0.869851729818781;0.4051862315219991;7.713.022.754.669.180;[8502.935009002686,8055.12543129921,7932.7721927165985,8001.037208080292,7713.022754669189];70.374.274.253.845.200;[7.52516770362854,7.413620233535767,7.557230710983276,7.771070718765259,7.17643666267395,7.501717567443848,7.771660566329956,8.012110471725464,7.233110666275024,7.450721979141235,7.464900016784668,7.731141567230225,7.610887765884399,7.291683673858643,7.49589729309082,7.706254959106445,7.71894907951355,7.353670835494995,7.379491090774536,7.0374274253845215,7.886158943176269,7.30785083770752,7.375840425491333,7.700595378875732,7.866162776947021,7.721659421920776,7.760486602783203,7.360393285751343,7.549374341964722,7.41687273979187,7.560242414474487,7.429418563842773,7.879522800445557,7.820769309997559,7.96442174911499,7.673537254333496,7.751604080200195,7.661489725112915,8.0857093334198,8.004662990570068,7.769452571868896,7.549248695373535,7.914887428283691,7.706890106201172,7.557083368301392,7.763844728469849,7.79340410232544,7.559195280075073,7.618973731994629,7.539737701416016,7.9427244663238525];0.42167033910751345;;;;
balmy-sweep-1;finished;-;anna_korotkova;;2020-08-11T10:03:56.000Z;42768;xs9409vg;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug11_10-03-57_anna-gpu;false;50;1;512;-1;xlnet-base-cased;false;1;/tmp/MRPC/;true;-1;8;16;;500;42;MRPC;false;0;0.01;;1;0.7769607843137255;0.8163726267051987;0.8557844690966719;0.45817286988683775;8.327.327.162.027.350;[8327.327162027359,8380.247911691666,8469.667894363403,8416.366490602493,8778.85693693161];7.120.707.988.739.010;[7.719839334487915,7.717233419418335,7.941817760467529,7.414248704910278,7.543626308441162,7.442750692367554,7.461503267288208,7.281527280807495,7.477521181106567,7.540083885192871,7.261849641799927,7.514525890350342,7.47346830368042,7.524207353591919,7.487760543823242,7.545268774032593,7.569118976593018,7.5444416999816895,7.478097200393677,7.273476839065552,7.795865058898926,7.834408760070801,7.358472585678101,7.310676097869873,7.650346517562866,7.63167142868042,7.3964455127716064,7.384168386459351,7.717872381210327,7.73615026473999,7.867854833602905,7.500403881072998,7.574581623077393,7.594731092453003,7.300929546356201,7.369449138641357,7.624823331832886,7.64509129524231,7.579953908920288,7.512332677841187,7.561725854873657,7.578198671340942,7.667402029037476,7.830405950546265,7.511474132537842,7.851343154907227,7.814834833145142,7.643309116363525,7.91035795211792,7.638124227523804,7.6808881759643555,7.315713405609131,7.452693462371826,7.343917369842529,7.547142744064331,7.235386371612549,7.415266275405884,7.275926113128662,7.57829475402832,7.278343677520752,7.120707988739014,7.404035329818726,7.263401031494141,7.220223665237427,7.327309608459473,7.300220489501953,7.458828210830688,7.188661813735962,7.260486364364624,7.347309350967407,7.404799699783325,7.317021608352661,7.29718542098999,7.24020791053772,7.221831798553467,7.319285154342651,7.367883682250977,7.628543376922607,7.5173540115356445,7.701335906982422,7.441043376922607,7.554557800292969,7.243497610092163,7.47877049446106,7.414565086364746,7.858079433441162,7.805224657058716,7.386523246765137,7.63573169708252,7.5774617195129395,7.529552459716797,7.854881286621094,7.8338377475738525,8.00743055343628,7.832143068313599,7.62557315826416,7.67823314666748,7.768173933029175,7.735769987106323,7.544604778289795,7.48165488243103,7.747889041900635];0.46612647086381914;;;;
fresh-sweep-43;finished;-;anna_korotkova;;2020-08-10T18:03:17.000Z;51925;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug10_18-03-19_anna-gpu;false;50;1;512;-1;xlnet-base-cased;false;1;/tmp/MRPC/;true;-1;8;8;;500;42;MRPC;false;0;0.01;;1;0.8553921568627451;0.8767461647871584;0.8981001727115717;0.3267137214687525;10.063.199.610.471.700;[10063.199610471724,10165.444549560549,10533.1002471447,10202.290942668917,10574.855973482132];6.781.896.114.349.360;[7.618345737457275,7.506998538970947,7.745380401611328,7.428985357284546,7.363898992538452,7.287896156311035,7.517273187637329,7.352087259292603,7.230072498321533,7.514118432998657,7.304873943328857,7.294602870941162,7.407267808914185,7.290515661239624,7.241642236709595,7.265347480773926,7.297183036804199,7.39027214050293,7.537790775299072,7.683885812759399,7.603307962417603,7.392495155334473,7.381103038787842,7.313114881515503,7.345712184906006,7.324674129486084,7.43253493309021,7.455588579177856,7.298898220062256,7.276041030883789,7.38520622253418,7.6346070766448975,7.339436054229736,7.18954873085022,7.461944580078125,7.305516242980957,7.417443752288818,7.577260494232178,7.342487335205078,7.379925727844238,7.042906999588013,7.546137809753418,7.487761974334717,7.878519296646118,7.5299177169799805,7.3407511711120605,7.366485595703125,7.680513143539429,7.541168689727783,7.213189363479614,7.530414819717407,7.314971208572388,7.328181743621826,7.222385883331299,7.139168977737427,7.28427267074585,6.948913335800171,7.3122639656066895,7.1482014656066895,7.19861364364624,7.404598951339722,7.168144226074219,7.303054094314575,7.057520866394043,7.023923397064209,7.535306215286255,7.523411750793457,7.296744585037232,7.134424448013306,7.4823524951934814,7.036640882492065,7.132455825805664,7.119998931884766,7.118715286254883,7.0874552726745605,7.016232490539551,7.336321830749512,6.929074764251709,7.15700364112854,7.3771812915802,7.485157489776611,7.390929698944092,7.404496669769287,7.143042325973511,6.909388065338135,6.781896114349365,7.047418117523193,7.048652648925781,7.00592827796936,7.239713430404663,7.247670650482178,7.119858026504517,7.207048416137695,7.0664918422698975,7.298738956451416,7.257538080215454,7.172790050506592,7.22046422958374,7.299873352050781,7.478369474411011,7.279103994369507,7.391065835952759,7.234543085098267,7.198835134506226,7.111773252487183,7.192368268966675,7.045231819152832,7.371498107910156,7.265731573104858,7.154568433761597,7.221433162689209,7.205287933349609,7.015250205993652,7.298047304153442,7.12271785736084,7.2563252449035645,7.072041273117065,7.237548351287842,7.136292457580566,7.043406248092651,7.475706577301025,7.152741432189941,7.183694362640381,7.263614654541016,7.11952805519104,7.073414087295532,7.063882827758789,7.219562768936157,7.280562877655029,7.321956634521484,7.223756790161133,7.481619119644165,7.573076486587524,7.374134540557861,7.305521249771118,7.2060706615448,7.303012371063232,7.1512861251831055,6.9551074504852295,7.24242901802063,7.301116704940796,7.191791534423828,7.326804637908936,7.452425241470337,7.209105730056763,7.448831558227539,7.435851335525513,7.056111097335815,7.232726097106934,7.370973110198975,7.09466814994812,7.262386560440064,7.348247528076172];0.295446455553174;;;;
daily-sweep-42;finished;-;anna_korotkova;;2020-08-10T13:15:11.000Z;17281;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug10_13-15-12_anna-gpu;false;50;1;512;-1;albert-base-v1;false;1;/tmp/MRPC/;true;-1;8;32;;500;42;MRPC;false;0;0.01;;1;0.8284313725490197;0.8538708586883029;0.8793103448275862;0.38763033350308734;3.105.247.955.560.680;[3105.247955560684,3552.27643609047,3518.1116268634796,3533.363931655884,3512.2669599056244];0.7379150390625;[0.8755924701690674,0.8398728370666504,1.2066802978515625,0.831183671951294,0.7579813003540039,0.7583861351013184,0.7379150390625,1.1386971473693848,0.9887516498565674,0.7942361831665039,0.9569039344787598,0.8650333881378174,0.8481707572937012,0.9661664962768556,0.7818424701690674,0.978412389755249,0.9393036365509032,0.9298648834228516,0.9979612827301024,1.1186976432800293,0.8873381614685059,1.0696017742156982,1.0174565315246582,1.1411786079406738,0.9533805847167968,1.0721700191497805,0.9234054088592528,1.0954370498657229,1.0198688507080078,1.2662348747253418,1.0750536918640137,0.9234626293182372,0.878359317779541,1.2652246952056885,0.9669790267944336,1.1921029090881348,0.9906790256500244,1.064009666442871,1.0963423252105713,1.0100345611572266,1.0420308113098145,1.081545352935791,0.97645902633667,1.3376543521881104,1.3194704055786133,1.170597791671753,1.296407699584961,0.995069980621338,1.0019679069519043,1.0384762287139893,1.032032489776611];0.38384951174259185;;;;
driven-sweep-41;finished;-;anna_korotkova;;2020-08-10T10:29:22.000Z;9945;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug10_10-29-23_anna-gpu;false;50;1;512;-1;albert-base-v1;false;1;/tmp/MRPC/;true;-1;8;16;;500;42;MRPC;false;0;0.01;;1;0.8627450980392157;0.883262583383869;0.9037800687285222;0.36886584627277713;19.546.205.208.301.500;[2023.7987217903135,1972.1453249454496,1954.6205208301544,1954.979941368103,1991.915904045105];0.6153078079223633;[0.8762955665588379,0.7371268272399902,0.6866304874420166,0.6852617263793945,0.616192102432251,0.717465877532959,0.6520884037017822,0.6505792140960693,0.7313809394836426,0.6842775344848633,0.7602918148040771,0.6617789268493652,0.6774430274963379,0.6462118625640869,0.725630521774292,0.6925954818725586,0.6705036163330078,0.6485202312469482,0.6742322444915771,0.7163586616516113,0.7288000583648682,0.6415910720825195,0.6883678436279297,0.6852331161499023,0.6742746829986572,0.6563682556152344,0.6390969753265381,0.6588306427001953,0.7125000953674316,0.6726489067077637,0.6469647884368896,0.7168333530426025,0.7496535778045654,0.821955680847168,0.7129456996917725,0.703141450881958,0.6733896732330322,0.7672786712646484,0.701230525970459,0.6529991626739502,0.762148380279541,0.7720448970794678,0.7212960720062256,0.7065744400024414,0.6507253646850586,0.7006125450134277,0.6408894062042236,0.7010343074798584,0.7009837627410889,0.7943158149719238,0.6889455318450928,0.7738442420959473,0.7420151233673096,0.7894985675811768,0.791224479675293,0.828312873840332,0.7759766578674316,0.7839717864990234,0.716806173324585,0.7390964031219482,0.7179214954376221,0.7459712028503418,0.7381927967071533,0.637763500213623,0.6962292194366455,0.8811855316162109,0.8064677715301514,0.6763262748718262,0.97117280960083,0.8217425346374512,0.6860287189483643,0.6153078079223633,0.6689279079437256,0.6762988567352295,0.720773458480835,0.8617458343505859,0.9454734325408936,0.79571533203125,0.8875453472137451,0.7388067245483398,0.6619846820831299,0.73486328125,0.7407457828521729,0.6329860687255859,0.6799159049987793,0.668463945388794,0.7951393127441406,0.7474439144134521,0.7057504653930664,0.6884081363677979,0.6793334484100342,0.7281961441040039,0.6875824928283691,0.6562974452972412,0.6826210021972656,0.6880881786346436,0.744330883026123,0.6769685745239258,0.6755554676055908,0.6724810600280762,0.655937671661377,0.7156872749328613];0.34433155626058576;;;;
autumn-sweep-40;finished;-;anna_korotkova;;2020-08-10T07:24:12.000Z;11107;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug10_07-24-13_anna-gpu;false;50;1;512;-1;albert-base-v1;false;1;/tmp/MRPC/;true;-1;8;8;;500;42;MRPC;false;0;0.01;;1;0.8553921568627451;0.8760323306205144;0.8966725043782837;0.3444100290390791;21.828.942.708.969.100;[2251.7913570404053,2184.2501974105835,2215.7364547252655,2182.8942708969116,2221.3741097450256];0.6431267261505127;[0.7788982391357422,0.7742810249328613,0.92984938621521,0.8461334705352783,0.7761049270629883,0.691547155380249,0.6672916412353516,0.6511139869689941,0.6844420433044434,0.7045862674713135,0.7275304794311523,0.6664962768554688,0.6669423580169678,0.692760705947876,0.724062442779541,0.6659772396087646,0.8092312812805176,0.7134647369384766,0.7328536510467529,0.6979095935821533,0.6593828201293945,0.6865708827972412,0.7762508392333984,0.7970387935638428,0.6442756652832031,0.6816110610961914,0.7148597240447998,0.6621928215026855,0.7941625118255615,0.6963903903961182,0.6526479721069336,0.7594919204711914,0.6857972145080566,0.8215394020080566,0.9925811290740968,0.9068868160247804,0.7723643779754639,0.7392697334289551,0.7689557075500488,0.7048952579498291,0.7096390724182129,0.7066977024078369,0.7115919589996338,0.7364339828491211,0.7177999019622803,0.7750217914581299,0.7148923873901367,0.7798738479614258,0.6807076930999756,0.6864457130432129,0.7298405170440674,0.8736481666564941,0.6834654808044434,0.7275619506835938,0.7506656646728516,0.7464847564697266,0.6780352592468262,0.665299654006958,0.7024369239807129,0.6523785591125488,0.6985490322113037,0.7646682262420654,0.7508645057678223,0.6804230213165283,0.8221845626831055,0.9201288223266602,0.8716578483581543,0.7523646354675293,0.7867083549499512,0.6869337558746338,0.7315964698791504,0.7716159820556641,0.6957032680511475,0.6530346870422363,0.7961859703063965,0.7166268825531006,0.7429547309875488,0.7042365074157715,0.8332257270812988,0.7008512020111084,0.72318434715271,0.6864843368530273,0.8236923217773438,0.9075067043304444,0.7259817123413086,0.6808784008026123,0.7445023059844971,0.6999385356903076,0.6947672367095947,0.7991242408752441,0.6658613681793213,0.668947696685791,0.8914921283721924,0.8984036445617676,0.6578707695007324,0.6470198631286621,0.7052481174468994,0.7031548023223877,0.6765716075897217,0.7794294357299805,0.7909109592437744,0.6737957000732422,0.8065004348754883,0.7796354293823242,0.8738110065460205,0.9137353897094728,0.8453853130340576,0.735590934753418,0.7309305667877197,0.6862380504608154,0.7065465450286865,0.677497148513794,0.7264297008514404,0.6759867668151855,0.764815092086792,0.7176125049591064,0.7078065872192383,0.7168445587158203,0.6798913478851318,0.6891388893127441,0.7164106369018555,0.7719240188598633,0.7673792839050293,0.8194973468780518,0.8618168830871582,0.9299094676971436,0.7309730052947998,0.702451229095459,0.7117750644683838,0.6451699733734131,0.6431267261505127,0.693251371383667,0.6631393432617188,0.7261781692504883,0.7096552848815918,0.7393467426300049,0.7123956680297852,0.7130262851715088,0.988340139389038,0.9010119438171388,0.8473126888275146,0.7044525146484375,0.6949949264526367,0.7133059501647949,0.6475205421447754,0.7385218143463135,0.6614296436309814,0.7211980819702148,0.7068831920623779,0.7067656517028809,0.697803258895874,0.7067766189575195,0.6812036037445068];0.28381928119808436;;;;
upbeat-sweep-39;finished;-;anna_korotkova;;2020-08-10T02:59:45.000Z;15864;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug10_02-59-46_anna-gpu;false;50;1;512;-1;roberta-base;false;1;/tmp/MRPC/;true;-1;8;32;;500;42;MRPC;false;0;0.01;;1;0.8504901960784313;0.8714532109139952;0.8924162257495591;0.341762471724959;27.702.544.445.991.500;[3256.9136123657227,3398.7523691654205,3542.3205165863037,2770.2544445991516,2841.5554711818695];0.6150434017181396;[0.8869116306304932,0.6625726222991943,0.7757477760314941,0.759706974029541,0.8148424625396729,0.8539934158325195,0.814368724822998,0.6171889305114746,0.7798388004302979,0.9730584621429444,0.7354376316070557,0.7116167545318604,0.7504780292510986,0.6403393745422363,0.7115418910980225,1.1878340244293213,1.1781187057495115,0.8462724685668945,0.7509791851043701,0.654273271560669,0.7274441719055176,0.6293416023254395,0.620913028717041,0.7204148769378662,0.6571533679962158,0.6872398853302002,0.6150434017181396,0.6651871204376221,0.6672885417938232,0.6187994480133057,0.7761297225952148,0.7569870948791504,0.6786386966705322,0.6770761013031006,0.7516729831695557,0.8112127780914307,0.6543774604797363,0.6206037998199463,0.7501485347747803,0.6972267627716064,0.650827169418335,0.6523561477661133,0.7461273670196533,0.6282572746276855,0.6518311500549316,0.7458338737487793,0.6640143394470215,0.6269242763519287,0.6387052536010742,0.7208924293518066,0.6340203285217285];0.384973111152649;;;;
fiery-sweep-38;finished;-;anna_korotkova;;2020-08-10T00:02:33.000Z;10626;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug10_00-02-35_anna-gpu;false;50;1;512;-1;roberta-base;false;1;/tmp/MRPC/;true;-1;8;16;;500;42;MRPC;false;0;0.01;;1;0.8700980392156863;0.8886392122523266;0.9071803852889668;0.3454848734625414;2.089.254.884.004.590;[2161.464522123337,2109.6431295871735,2108.349988222122,2089.254884004593,2105.967910528183];0.6172902584075928;[0.8070361614227295,0.7008957862854004,0.7510366439819336,0.6839277744293213,0.6501741409301758,0.6854455471038818,0.7624714374542236,0.7614662647247314,0.7889153957366943,0.754849910736084,0.6963160037994385,0.6839737892150879,0.6659817695617676,0.6620938777923584,0.6674356460571289,0.6738927364349365,0.7220907211303711,0.8826494216918945,0.6867942810058594,0.7061760425567627,0.656031608581543,0.728290319442749,0.731337308883667,0.9873945713043212,0.6866030693054199,0.670478105545044,0.674297571182251,0.7689054012298584,0.7433686256408691,0.8855433464050293,0.8845174312591553,0.7735669612884521,0.8990223407745361,0.7653777599334717,0.711259126663208,0.644233226776123,0.6982202529907227,0.6533644199371338,0.6910028457641602,0.7007381916046143,0.7051389217376709,0.7113552093505859,0.6930158138275146,0.9776899814605712,1.0773344039916992,0.7370612621307373,0.6172902584075928,0.7192568778991699,0.6913247108459473,0.6671090126037598,0.6843581199645996,0.8896372318267822,0.7195158004760742,0.8219735622406006,0.7443559169769287,0.6995785236358643,0.6587502956390381,0.7061660289764404,0.6770555973052979,0.6546814441680908,0.7219138145446777,0.8028903007507324,0.6930053234100342,0.6687726974487305,0.7352132797241211,0.7648663520812988,0.7118310928344727,0.6761283874511719,0.6923913955688477,0.6361277103424072,0.6421918869018555,0.6454253196716309,0.7469332218170166,0.6839573383331299,0.6814539432525635,0.6991949081420898,0.6898095607757568,0.7045562267303467,0.7628219127655029,0.7213215827941895,0.7258865833282471,0.6541059017181396,0.6752691268920898,0.7784028053283691,0.7536113262176514,0.722421407699585,0.7202565670013428,0.6457018852233887,0.6620688438415527,0.7334129810333252,0.7492263317108154,0.7031872272491455,0.6884925365447998,0.6775548458099365,0.6702642440795898,0.6653537750244141,0.7180004119873047,0.6986982822418213,0.7127084732055664,0.6607165336608887,0.667555570602417,0.6818122863769531];0.36741742938756944;;;;
sage-sweep-37;finished;-;anna_korotkova;;2020-08-09T20:44:22.000Z;11886;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug09_20-44-23_anna-gpu;false;50;1;512;-1;roberta-base;false;1;/tmp/MRPC/;true;-1;8;8;;500;42;MRPC;false;0;0.01;;1;0.8602941176470589;0.8802346244977852;0.9001751313485115;0.3702543250778142;23.146.349.856.853.400;[2361.3112745285034,2345.900795698166,2437.8035888671875,2314.6349856853485,2371.067487001419];0.6419615745544434;[0.7032058238983154,0.6611242294311523,0.6789464950561523,0.7500293254852295,0.6651461124420166,0.687370777130127,0.7049787044525146,0.7223010063171387,0.6907391548156738,0.6866047382354736,0.7042925357818604,0.7067344188690186,0.6495547294616699,0.659700870513916,0.7150402069091797,0.671299934387207,0.6568655967712402,0.6928486824035645,0.6770138740539551,0.6572864055633545,0.6838905811309814,0.6934897899627686,0.6754543781280518,0.6647937297821045,0.6498339176177979,0.785564661026001,0.7891333103179932,0.6725518703460693,0.6967754364013672,0.6644837856292725,0.7312097549438477,0.6875841617584229,0.7065291404724121,0.7589402198791504,0.7245240211486816,0.7308058738708496,0.763592004776001,0.6870028972625732,0.7039601802825928,0.6560449600219727,0.7170727252960205,0.6817209720611572,0.7079143524169922,0.721066951751709,0.673907995223999,0.7013504505157471,0.6661198139190674,0.678436279296875,0.7039742469787598,0.6940982341766357,0.68099045753479,0.726884126663208,0.6523616313934326,0.6787467002868652,0.7249672412872314,0.6677441596984863,0.7021138668060303,0.6515567302703857,0.6601510047912598,0.6710944175720215,0.7179148197174072,0.684520959854126,0.6484625339508057,0.6913321018218994,0.6670887470245361,0.6419615745544434,0.674140453338623,0.6831803321838379,0.6434650421142578,0.7274830341339111,0.6614327430725098,0.6769421100616455,0.6725649833679199,0.6881077289581299,0.737804651260376,0.6648447513580322,0.6604924201965332,0.7523696422576904,0.7050375938415527,0.6661467552185059,0.704362154006958,0.6756606101989746,0.6597504615783691,0.6765315532684326,0.7365586757659912,0.7137675285339355,0.7083079814910889,0.6849088668823242,0.6666693687438965,0.6916520595550537,0.6958472728729248,0.7209863662719727,0.7085602283477783,0.7046811580657959,0.6535234451293945,0.7517523765563965,0.6959669589996338,0.7170698642730713,0.6995115280151367,0.7096951007843018,0.6828193664550781,0.6497676372528076,0.7542519569396973,0.7441000938415527,0.6732325553894043,0.6505753993988037,0.728126049041748,0.6826269626617432,0.6985981464385986,0.7127523422241211,0.6661479473114014,0.7366108894348145,0.7288298606872559,0.7206006050109863,0.6814594268798828,0.6840605735778809,0.7303018569946289,0.716677188873291,0.6985292434692383,0.6558454036712646,0.7441737651824951,0.7256765365600586,0.6653702259063721,0.6773624420166016,0.6966097354888916,0.6678097248077393,0.7007062435150146,0.6847014427185059,0.6900441646575928,0.6818053722381592,0.7030642032623291,0.7122209072113037,0.7517151832580566,0.6707444190979004,0.6650378704071045,0.7104678153991699,0.6697437763214111,0.6773393154144287,0.6946799755096436,0.6983532905578613,0.6901035308837891,0.6882956027984619,0.6932952404022217,0.726961612701416,0.6742830276489258,0.7216386795043945,0.6920065879821777,0.6689422130584717,0.6914901733398438,0.7092998027801514,0.7128317356109619,0.7008345127105713,0.7274267673492432];0.35646086260676385;;;;
dutiful-sweep-36;finished;-;anna_korotkova;;2020-08-09T18:53:34.000Z;6645;a4lft28r;"[""cpu"",0]";0.000001;/home/ubuntu/MRPC;false;false;true;false;true;1000;true;5;false;O1;1;0.00003;-1;runs/Aug09_18-53-35_anna-gpu;false;50;1;512;-1;distilbert-base-uncased;false;1;/tmp/MRPC/;true;-1;8;32;;500;42;MRPC;false;0;0.01;;1;0.7156862745098039;0.7715336134453781;0.8273809523809522;0.5058217676831227;12.397.746.286.392.200;[1571.4947938919067,1278.7572145462036,1260.9618332386017,1239.7746286392212,1267.0320765972135];0.29300403594970703;[0.48196864128112793,0.33942556381225586,0.29720568656921387,0.31634998321533203,0.29705190658569336,0.30249595642089844,0.35190534591674805,0.3151280879974365,0.2958829402923584,0.2974700927734375,0.3474302291870117,0.3113429546356201,0.30396032333374023,0.33197522163391113,0.33185815811157227,0.2944192886352539,0.31606459617614746,0.3398139476776123,0.29720091819763184,0.29300403594970703,0.33757686614990234,0.30582118034362793,0.31008481979370117,0.2991659641265869,0.2989025115966797,0.3081698417663574,0.31018662452697754,0.3167915344238281,0.3438529968261719,0.29801106452941895,0.3296985626220703,0.301513671875,0.3163776397705078,0.30712127685546875,0.33486485481262207,0.29458022117614746,0.29932188987731934,0.33466553688049316,0.2985851764678955,0.3126802444458008,0.3043522834777832,0.3966066837310791,0.32660913467407227,0.3438735008239746,0.2934908866882324,0.3845672607421875,0.32272887229919434,0.30726099014282227,0.3069584369659424,0.3140268325805664,0.3792688846588135];0.4926929855346679;;;;
