"Name","State","Notes","User","Tags","Created","Runtime","Sweep","__cached__setup_devices","adam_epsilon","data_dir","dataloader_drop_last","debug","do_eval","do_predict","do_train","eval_steps","evaluate_during_training","finetuning_iters","fp16","fp16_opt_level","gradient_accumulation_steps","learning_rate","local_rank","logging_dir","logging_first_step","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","no_cuda","num_train_epochs","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_train_batch_size","save_steps","seed","task_name","tpu_metrics_debug","warmup_steps","weight_decay","Training time","epoch","eval_acc","eval_acc_and_f1","eval_corr","eval_f1","eval_loss","eval_mcc","eval_pearson","eval_spearmanr","finetuning_time","finetuning_time_list","inference_time","inference_time_list","loss"
"efficient-sweep-12","finished","-","anna_korotkova","","2020-07-30T10:47:13.000Z","161","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-47-14_anna-gpu","false","50","1","80","-1","distilbert-base-cased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.5633802816901409","","","","0.6893362071779039","","","","27.1987087726593","[33.62863302230835,27.1987087726593,29.949347972869873,29.02234387397766,28.62842392921448]","0.07470464706420898","[0.17337846755981445,0.14507222175598145,0.07505941390991211,0.1360607147216797,0.09971880912780762,0.07594490051269531,0.10303187370300292,0.07470464706420898,0.08539342880249023]","0.2771162497997284"
"efficient-sweep-11","finished","-","anna_korotkova","","2020-07-30T10:43:35.000Z","213","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-43-36_anna-gpu","false","50","1","80","-1","distilbert-base-cased","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.5070422535211268","","","","0.6938349604606628","","","","39.841012716293335","[41.37437033653259,39.92978048324585,40.66938304901123,40.01933145523071,39.841012716293335]","0.07682609558105469","[0.13173484802246094,0.22034597396850583,0.1175706386566162,0.08155441284179688,0.07801318168640137,0.08803987503051758,0.07770085334777832,0.0783846378326416,0.07682609558105469]","0.5548424530029297"
"magic-sweep-10","finished","-","anna_korotkova","","2020-07-30T10:38:54.000Z","277","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-38-55_anna-gpu","false","50","1","80","-1","distilbert-base-cased","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.5352112676056338","","","","0.6921591891182793","","","","51.9458384513855","[53.60860657691955,51.9458384513855,53.27964544296265,52.99275207519531,53.247663497924805]","0.0737910270690918","[0.18010282516479492,0.13801932334899902,0.13579511642456055,0.07787656784057617,0.07459354400634766,0.0737910270690918,0.12784075736999512,0.14382004737854004,0.14012598991394043]","0.6944008183479309"
"elated-sweep-9","finished","-","anna_korotkova","","2020-07-30T10:34:13.000Z","280","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-34-15_anna-gpu","false","50","1","80","-1","bert-base-cased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.4507042253521127","","","","0.7137331896358066","","","","50.18378186225891","[57.62369203567505,51.227301597595215,52.40503215789795,50.18378186225891,52.141538858413696]","0.14560961723327637","[0.33167457580566406,0.22666645050048828,0.1543126106262207,0.15774059295654297,0.1625378131866455,0.1655445098876953,0.14560961723327637,0.19586443901062012,0.2504727840423584]","0.2795632874965668"
"avid-sweep-8","finished","-","anna_korotkova","","2020-07-30T10:27:34.000Z","396","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-27-35_anna-gpu","false","50","1","80","-1","bert-base-cased","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.5070422535211268","","","","0.6990982360310025","","","","72.8897659778595","[79.89769864082336,72.8897659778595,75.50613355636597,75.08118605613708,77.54767155647278]","0.14253664016723633","[0.20513677597045896,0.15286898612976074,0.14290642738342285,0.2395005226135254,0.14525437355041504,0.1949913501739502,0.14253664016723633,0.15083956718444824,0.16593217849731445]","0.5579536926746368"
"unique-sweep-7","finished","-","anna_korotkova","","2020-07-30T10:19:31.000Z","480","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-19-32_anna-gpu","false","50","1","80","-1","bert-base-cased","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.4225352112676056","","","","0.707182870970832","","","","89.28192496299744","[99.02793097496031,93.11335515975952,92.34370374679564,89.28192496299744,91.16986060142516]","0.1499950885772705","[0.2480506896972656,0.25632524490356445,0.24362444877624512,0.27142906188964844,0.16924214363098145,0.1499950885772705,0.1507866382598877,0.15726327896118164,0.1634502410888672]","0.7032414925098419"
"lyric-sweep-6","finished","-","anna_korotkova","","2020-07-30T10:17:06.000Z","141","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-17-07_anna-gpu","false","50","1","64","-1","distilbert-base-cased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.5633802816901409","","","","0.6901326378186544","","","","24.951610326766968","[27.07955265045166,24.951610326766968,25.59884762763977,24.993286609649655,26.391114950180057]","0.08930158615112305","[0.15387725830078125,0.16475653648376465,0.16306805610656738,0.1481785774230957,0.10356831550598145,0.08930158615112305,0.1375577449798584,0.14789485931396484,0.13628292083740234]","0.27761359453201295"
"wild-sweep-5","finished","-","anna_korotkova","","2020-07-30T10:13:55.000Z","183","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-13-56_anna-gpu","false","50","1","64","-1","distilbert-base-cased","false","1","/tmp/WNLI/","true","-1","8","16","","500","42","WNLI","false","0","0.01","","1","0.5352112676056338","","","","0.6920337147182889","","","","32.078635931015015","[34.527528285980225,35.60664391517639,35.50918912887573,32.078635931015015,33.51134753227234]","0.1018047332763672","[0.15556788444519043,0.11686372756958008,0.13146185874938965,0.1313152313232422,0.12434005737304688,0.1018047332763672,0.15180611610412598,0.10719442367553712,0.11248087882995604]","0.5551872313022613"
"likely-sweep-4","finished","-","anna_korotkova","","2020-07-30T10:09:35.000Z","259","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-09-37_anna-gpu","false","50","1","64","-1","distilbert-base-cased","false","1","/tmp/WNLI/","true","-1","8","8","","500","42","WNLI","false","0","0.01","","1","0.5211267605633803","","","","0.6929255260361565","","","","47.352116107940674","[51.96380352973938,50.172258138656616,48.40748357772827,48.32957577705383,47.352116107940674]","0.06962943077087402","[0.14699673652648926,0.06993675231933594,0.08574724197387695,0.1220703125,0.0858011245727539,0.06962943077087402,0.08353257179260254,0.08246111869812012,0.09649348258972168]","0.6948369443416595"
"swept-sweep-3","finished","-","anna_korotkova","","2020-07-30T10:04:45.000Z","285","qnkmf17y","[""cpu"",0]","0.000001","/home/ubuntu/WNLI","false","false","true","false","true","1000","true","5","false","O1","1","0.00002","-1","runs/Jul30_10-04-46_anna-gpu","false","50","1","64","-1","bert-base-cased","false","1","/tmp/WNLI/","true","-1","8","32","","500","42","WNLI","false","0","0.01","","1","0.4647887323943662","","","","0.7072638935512967","","","","51.016327142715454","[61.14630174636841,52.95345902442932,51.89888978004456,51.016327142715454,52.60469126701355]","0.14468908309936523","[0.24007201194763184,0.320159912109375,0.2889437675476074,0.25002169609069824,0.18991851806640625,0.1787874698638916,0.14468908309936523,0.26427793502807617,0.19873952865600583]","0.28054955005645754"
