"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","__cached__setup_devices","adam_epsilon","data_dir","dataloader_drop_last","debug","do_eval","do_predict","do_train","eval_steps","evaluate_during_training","finetuning_iters","fp16","fp16_opt_level","gradient_accumulation_steps","learning_rate","local_rank","logging_dir","logging_first_step","logging_steps","max_grad_norm","max_seq_length","max_steps","model_name_or_path","no_cuda","num_train_epochs","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_train_batch_size","save_steps","seed","task_name","tpu_metrics_debug","warmup_steps","weight_decay","Training time","epoch","eval_acc","eval_acc_and_f1","eval_corr","eval_f1","eval_loss","eval_mcc","eval_pearson","eval_spearmanr","finetuning_time","finetuning_time_list","inference_time","inference_time_list","loss"
"efficient-sweep-63","a282m809","finished","-","anna_korotkova","","2020-09-29T11:02:59.000Z","8603","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_11-03-00_anna-gpu","false","200","1","512","-1","xlnet-base-cased","false","1","/tmp/MRPC/","true","-1","32","32","","500","42","MRPC","false","0","0.01","","1","0.8063725490196079","0.8381121394191944","","0.869851729818781","0.40486136766580433","","","","8324.589782953262","[8324.589782953262]","16.343332052230835","[22.9601149559021,20.403908014297485,21.09306836128235,20.759145498275757,20.490658283233643,20.334373474121097,19.56309199333191,19.965009212493896,21.418447732925415,21.90031671524048,20.42573285102844,20.72748875617981,16.343332052230835]",""
"fluent-sweep-62","a282m809","finished","-","anna_korotkova","","2020-09-29T08:31:04.000Z","9110","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_08-31-06_anna-gpu","false","200","1","512","-1","xlnet-base-cased","false","1","/tmp/MRPC/","true","-1","16","32","","500","42","MRPC","false","0","0.01","","1","0.8063725490196079","0.8381121394191944","","0.869851729818781","0.40216525472127473","","","","8777.270617723465","[8777.270617723465]","7.837302684783936","[11.86094069480896,11.165367603302002,11.600175857543944,12.058587312698364,12.312378883361816,13.106361865997314,13.200505495071411,12.94794487953186,13.753469467163086,12.706525325775146,12.501611471176147,12.9597647190094,12.6761634349823,13.016947507858276,12.769240856170654,12.40313982963562,12.114970684051514,12.53713083267212,12.55757188796997,12.488818168640137,12.381521463394163,12.491673707962036,11.931148290634155,12.136821269989014,12.01799249649048,7.837302684783936]",""
"atomic-sweep-61","a282m809","finished","-","anna_korotkova","","2020-09-29T05:58:07.000Z","9175","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_05-58-09_anna-gpu","false","200","1","512","-1","xlnet-base-cased","false","1","/tmp/MRPC/","true","-1","8","32","","500","42","MRPC","false","0","0.01","","1","0.8063725490196079","0.8381121394191944","","0.869851729818781","0.4051862315219991","","","","8759.449343442917","[8759.449343442917]","7.239570617675781","[7.727851152420044,8.280471801757812,7.728655815124512,8.012179613113403,7.824034214019775,7.816944599151611,8.189551830291748,7.75782299041748,7.864142656326294,7.854822874069214,8.009004354476929,7.89644193649292,8.178982496261597,7.999863386154175,8.134429693222046,7.866297960281372,7.536756277084351,8.221652507781982,7.829840898513794,7.767204523086548,8.400343656539917,7.829744577407837,8.056411266326904,7.239570617675781,7.847102403640747,7.3901050090789795,7.519619464874268,7.9372782707214355,7.584147214889526,7.817466735839844,7.573660135269165,7.632084846496582,8.153701543807983,8.08649468421936,7.959810256958008,7.6142919063568115,8.018814325332642,7.433961868286133,7.848147630691528,7.831102132797241,7.395767450332642,8.050204038619995,7.551252126693726,7.581142902374268,7.53412938117981,7.339471101760864,7.944174766540527,7.599402904510498,7.7646684646606445,7.823333263397217,7.9094038009643555]",""
"balmy-sweep-60","a282m809","finished","-","anna_korotkova","","2020-09-29T05:04:50.000Z","3192","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_05-04-52_anna-gpu","false","200","1","512","-1","albert-base-v1","false","1","/tmp/MRPC/","true","-1","32","32","","500","42","MRPC","false","0","0.01","","1","0.8284313725490197","0.8538708586883029","","0.8793103448275862","0.38647706692035383","","","","3144.2008922100067","[3144.2008922100067]","2.401761293411255","[3.067903518676758,3.5176079273223877,2.756794691085815,2.7575061321258545,2.850372552871704,3.068349123001098,2.8177695274353027,2.672943592071533,2.805851459503174,3.585230827331543,2.8648574352264404,3.201026439666748,2.401761293411255]",""
"feasible-sweep-59","a282m809","finished","-","anna_korotkova","","2020-09-29T04:14:52.000Z","2996","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_04-14-54_anna-gpu","false","200","1","512","-1","albert-base-v1","false","1","/tmp/MRPC/","true","-1","16","32","","500","42","MRPC","false","0","0.01","","1","0.8284313725490197","0.8538708586883029","","0.8793103448275862","0.38636186718940735","","","","2945.310624599457","[2945.310624599457]","0.7999749183654785","[1.638075351715088,1.4402971267700195,1.3667645454406738,1.364839792251587,1.8945527076721191,1.620079755783081,1.441439151763916,1.5290155410766602,1.3067576885223389,1.555941104888916,1.5233938694000244,1.4013903141021729,1.539071798324585,1.902693033218384,1.7521886825561523,1.9120306968688965,2.053014039993286,1.657271146774292,1.9546244144439695,1.5863747596740725,1.7211792469024658,1.839282512664795,1.806652545928955,1.8139686584472656,1.710120439529419,0.7999749183654785]",""
"elated-sweep-58","a282m809","finished","-","anna_korotkova","","2020-09-29T03:24:55.000Z","2993","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_03-24-57_anna-gpu","false","200","1","512","-1","albert-base-v1","false","1","/tmp/MRPC/","true","-1","8","32","","500","42","MRPC","false","0","0.01","","1","0.8284313725490197","0.8538708586883029","","0.8793103448275862","0.38763033350308734","","","","2940.026158094406","[2940.026158094406]","0.677004337310791","[0.942772388458252,0.7726929187774658,0.677004337310791,0.8354601860046387,0.8247337341308594,0.7545778751373291,0.761622428894043,0.7424695491790771,1.0478622913360596,0.8030331134796143,0.836423397064209,0.8773200511932373,0.9202022552490234,0.792712926864624,0.7514042854309082,0.8811039924621582,0.8148534297943115,0.8435776233673096,0.7951846122741699,0.6915102005004883,0.8929164409637451,0.8835635185241699,0.7654833793640137,0.7470231056213379,0.7289106845855713,0.7068297863006592,0.8915436267852783,0.8379626274108887,0.7466282844543457,0.7136740684509277,0.7190704345703125,0.8953917026519775,0.7986724376678467,0.7448909282684326,0.6807675361633301,0.7044401168823242,1.080768346786499,0.8404920101165771,0.7337813377380371,0.819462776184082,0.7853760719299316,0.7972402572631836,0.8337996006011963,0.8130254745483398,0.9842231273651124,0.845543384552002,0.919724702835083,0.7208857536315918,0.734400749206543,0.8277184963226318,0.7220804691314697]",""
"olive-sweep-57","a282m809","finished","-","anna_korotkova","","2020-09-29T02:29:25.000Z","3329","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_02-29-27_anna-gpu","false","200","1","512","-1","roberta-base","false","1","/tmp/MRPC/","true","-1","32","32","","500","42","MRPC","false","0","0.01","","1","0.8504901960784313","0.8714532109139952","","0.8924162257495591","0.338688014791562","","","","3274.298767566681","[3274.298767566681]","2.3213374614715576","[2.95574688911438,2.5805370807647705,2.982686758041382,2.6986024379730225,3.412430763244629,3.2691149711608887,3.446147918701172,2.960385322570801,2.636613368988037,2.951608896255493,2.824707269668579,3.8083670139312744,2.3213374614715576]",""
"northern-sweep-56","a282m809","finished","-","anna_korotkova","","2020-09-29T01:31:09.000Z","3492","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_01-31-10_anna-gpu","false","200","1","512","-1","roberta-base","false","1","/tmp/MRPC/","true","-1","16","32","","500","42","MRPC","false","0","0.01","","1","0.8504901960784313","0.8714532109139952","","0.8924162257495591","0.33774189479075944","","","","3425.7744636535645","[3425.7744636535645]","1.1532158851623535","[1.572751522064209,1.6368358135223389,1.7205188274383545,1.592869758605957,2.4082891941070557,1.6350603103637695,1.440190315246582,2.252358675003052,2.0902223587036133,2.3887481689453125,2.104361057281494,1.995755672454834,2.0912907123565674,1.861919641494751,2.498481273651123,2.2145588397979736,2.117816686630249,2.6384687423706055,1.798330545425415,1.927335500717163,2.0631966590881348,1.7601826190948486,2.1183180809020996,1.973628044128418,2.0541136264801025,1.1532158851623535]",""
"robust-sweep-55","a282m809","finished","-","anna_korotkova","","2020-09-29T00:30:33.000Z","3631","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_00-30-34_anna-gpu","false","200","1","512","-1","roberta-base","false","1","/tmp/MRPC/","true","-1","8","32","","500","42","MRPC","false","0","0.01","","1","0.8504901960784313","0.8714532109139952","","0.8924162257495591","0.341762471724959","","","","3568.7842741012573","[3568.7842741012573]","0.6753296852111816","[0.9644527435302734,0.7161643505096436,0.677933931350708,0.8008828163146973,0.8956365585327148,0.7142283916473389,0.7862296104431152,0.8033502101898193,1.1130783557891846,1.291029930114746,1.0086190700531006,0.7111914157867432,0.6891767978668213,0.7114355564117432,0.7272100448608398,0.816502571105957,0.738323450088501,0.7545819282531738,0.8604297637939453,0.7187435626983643,0.7377376556396484,1.000477313995361,0.8687839508056641,0.7332272529602051,1.0278687477111816,0.8428528308868408,1.0070233345031738,1.0478098392486572,0.7258355617523193,0.8169615268707275,0.7203927040100098,0.759472131729126,0.6936924457550049,0.6753296852111816,0.7697882652282715,1.0259313583374023,0.8356075286865234,0.7518868446350098,0.9211463928222656,0.7989802360534668,0.7165606021881104,0.7709331512451172,0.7644140720367432,0.7204873561859131,0.7586982250213623,0.8164865970611572,0.8987791538238525,1.025104522705078,1.2944128513336182,0.8111238479614258,0.7823498249053955]",""
"radiant-sweep-54","a282m809","finished","-","anna_korotkova","","2020-09-29T00:04:23.000Z","1566","f8kw49h3","[""cpu"",0]","0.000001","/home/ubuntu/MRPC","false","false","true","false","true","1000","true","1","false","O1","1","0.00003","-1","runs/Sep29_00-04-25_anna-gpu","false","200","1","512","-1","distilbert-base-cased","false","1","/tmp/MRPC/","true","-1","32","32","","500","42","MRPC","false","0","0.01","","1","0.7107843137254902","0.7665367351759982","","0.822289156626506","0.5473452577224145","","","","1536.9462962150574","[1536.9462962150574]","1.0187382698059082","[1.487462282180786,1.5190048217773438,1.3133416175842283,1.2490153312683103,1.588839054107666,1.7454204559326172,1.559941291809082,1.343738079071045,1.578618049621582,1.3440558910369873,1.3343908786773682,1.404025316238403,1.0187382698059082]",""
